2,4856,PC7C042B7
2,4154,PC2C2EF9E
2,4070,PCEECA8B2
2,4095,PC3E1512A
2,4135,PCC943ECD
2,4680,PCC422F4D
2,4702,PCDBC3AC9
2,4592,PC627AA14
2,4100,PCC6DD8D5
2,4143,PC5F47DCF
2,4466,PC6E93A05
2,4352,PC99B9343
2,4574,PCC1F6F13
2,4902,PC425C6EC
2,4012,PCEF5C190
2,4458,PCECEBBFA
2,4886,PC4D892D7
4,4680,PCC422F4D
2,4899,PC4967767
2,4855,PC03C5C15
2,4737,PCED7EAFE
2,4140,PC5D4821F
2,4961,PC92C5115
2,4148,PCDFBBEBB
2,4630,PCA26D872
2,5003,PCAC9371E
2,4243,PCC4F7DCE
2,4023,PC77793DF
2,4987,PCF4A9637
2,4755,PC628DCED
4,4079,PCF1366ED
2,4616,PCE6675F9
4,4245,PC6594AD4
4,4090,PC1EE951B
4,4383,PC4BFE950
2,4449,PCAACD453
2,4351,PC4E572D8
2,4159,PC5631507
2,4018,PCCB2657A
2,4827,PC7D68CD9
2,4115,PCF5D4B0A
2,4102,PC8C9B099
2,4398,PCE60D320
2,4918,PC8F8E598
2,4984,PCBABF130
4,4460,PCDF04952
2,4326,PC356AE8F
2,4600,PCB99E8F9
2,4735,PC2294422
2,4162,PC51A39A7
2,4012,PCEF5C190
2,4223,PCA37D114
2,4990,PCFE28E92
2,4154,PC2C2EF9E
2,4913,PC685427C
4,4388,PC803F0F2
2,4299,PCAD3B9BC
2,4725,PCB905D54
2,4229,PCD0DDD3D
2,4354,PC0671DD4
2,4127,PCA2D76A5
4,4522,PC0A326BE
4,4410,PC6EFC03B
2,4689,PC89C35AD
2,4296,PCA24C1E1
2,4303,PC2E2E0C0
2,4346,PCA35B156
2,4253,PC82A16E6
2,5007,PC869BDE8
2,4534,PCAD9E1F9
2,4742,PC05B8749
2,4944,PC41EEC34
2,4171,PC36C9AE8
2,4750,PCD987A9D
2,4878,PC08F56A1
2,4274,PC88EA64E
2,4377,PC4AC8EAD
2,4265,PC5B2AFFA
2,4304,PC89FB76E
2,4797,PCE2D63A7
4,4061,PC3A63A79
4,4085,PC6150735
2,4675,PCE49911B
4,4997,PC8111910
2,4241,PC7241796
2,4890,PCAFC8A56
2,4537,PC10C700F
2,4743,PCE6EEF2E
2,4026,PC2CE9851
2,4373,PC8806694
4,4116,PCCA836C9
4,4785,PC787D664
2,5002,PC585BD38
2,4728,PC07BF95F
4,4015,PC524833E
2,4817,PCFF02057
4,4857,PC59F4E22
2,4724,PC3DE08BF
4,4725,PCB905D54
2,4591,PCC9875AC
4,4792,PC3E35002
2,4927,PC2D22627
2,4397,PCB070250
4,4195,PC308070B
4,4336,PCD30AB50
4,4520,PC8140983
2,4328,PC3777B8E
2,4749,PC65C93B7
2,4990,PCFE28E92
2,4231,PC016D687
2,4643,PC6713209
2,4121,PCEC57A8E
2,4400,PC3BD7D63
2,4119,PC9EBEDB5
4,4695,PC4A5D62F
2,4495,PC210A754
4,4434,PCA491459
2,4299,PCAD3B9BC
2,4023,PC77793DF
4,4365,PC0F226DF
2,4582,PC98750ED
2,4119,PC9EBEDB5
2,4416,PC546F252
2,4898,PC0AE9E1B
4,4698,PC8BCEB19
2,4416,PC546F252
2,4993,PC0F0AB4E
4,4356,PCF1979AE
2,4504,PC461DCD3
2,4811,PCBF83C7A
2,4574,PCC1F6F13
2,4116,PCCA836C9
2,4049,PC4779D38
2,4435,PC3E78C17
2,4272,PC09BDC08
2,4929,PC9E503B6
2,4531,PC857F4A0
2,4222,PC15EC378
2,4657,PCC591410
4,4481,PC30AAE76
4,4145,PC5FBE4B8
4,4813,PCACF7982
2,4585,PCF3AE602
2,4924,PCE3427C5
4,4584,PC1085B78
2,4225,PCC1ED0C5
2,4719,PCBD66B01
2,4830,PC12EEFE0
2,4073,PCA3797CA
4,4954,PCA276EBB
2,4732,PCD83DE25
2,4155,PC9042B3F
2,4142,PC7ACFF7C
2,4737,PCED7EAFE
2,4337,PCCF6A454
4,4507,PC11DCA73
4,4092,PC40C2E00
2,4269,PCC7106FF
2,4610,PCA4D3E9B
2,4980,PCBD5C822
2,4295,PCD483999
2,4412,PC821BC98
2,4364,PCB33ACE8
