PTE,VC965,362
PTP,VC965,865
PTE,VC965,186
PTP,VC965,753
PTE,VC965,711
PTE,VC965,847
PTE,VC965,736
PTE,VCD2F,528
PTP,VC965,358
PTC,VC965,225
PTE,VC965,823
PTC,VCD2F,156
PTP,VCD2F,73
PTE,VC965,967
PTC,VCD2F,958
PTE,VC965,388
PTC,VC965,934
PTP,VCB43,6
PTP,VCD2F,908
PTP,VC965,311
PTC,VC965,671
PTP,VC965,587
PTP,VC965,264
PTP,VC965,393
PTE,VC965,502
PTP,VC965,639
PTE,VC965,475
PTP,VC965,365
PTE,VC965,452
PTE,VC965,147
PTE,VCB43,963
PTE,VC965,626
PTP,VCB43,404
PTE,VCB43,766
PTE,VCB43,16
PTC,VCD2F,976
PTP,VC965,549
PTE,VC965,926
PTC,VC965,180
PTE,VC965,885
PTC,VCD2F,303
PTE,VC965,442
PTP,VC965,557
PTE,VC965,216
PTP,VC965,261
PTP,VCB43,307
PTC,VC965,907
PTE,VCD2F,606
PTE,VC965,880
PTP,VC965,589
PTC,VC965,65
PTC,VC965,815
PTP,VCD2F,423
PTP,VC965,814
PTC,VC965,418
PTP,VCB43,91
PTC,VC965,591
PTC,VC965,136
PTE,VC965,805
PTC,VC965,285
PTC,VC965,457
PTP,VCB43,564
PTP,VCB43,714
PTC,VCD2F,89
PTC,VC965,409
PTC,VC965,840
PTC,VC965,869
PTE,VC965,745
PTP,VCD2F,569
PTP,VC965,184
PTP,VC965,883
PTC,VC965,202
PTC,VC965,222
PTP,VC965,571
PTE,VC965,559
PTP,VC965,558
PTE,VC965,827
PTE,VC965,32
PTC,VC965,975
PTE,VC965,883
PTP,VCB43,650
PTC,VCB43,321
PTC,VC965,37
PTC,VCB43,319
PTC,VC965,238
PTP,VC965,842
PTP,VC965,509
PTE,VC965,758
PTC,VC965,198
PTE,VC965,418
PTC,VCB43,837
PTP,VCB43,156
PTP,VCD2F,378
PTC,VC965,411
PTE,VCB43,146
PTP,VC965,20
PTC,VCB43,23
PTC,VC965,136
PTP,VCB43,593
PTC,VC965,869
PTP,VCB43,902
PTE,VC965,552
PTE,VC965,476
PTP,VCB43,460
PTE,VCB43,546
PTP,VCB43,441
PTE,VC965,56
PTC,VC965,644
PTP,VC965,938
PTP,VC965,671
PTC,VC965,409
PTP,VC965,913
PTP,VCD2F,198
PTE,VC965,817
PTE,VCB43,755
PTC,VC965,497
PTE,VCB43,849
PTC,VC965,772
PTE,VCD2F,23
PTC,VCB43,716
PTC,VCD2F,252
PTE,VC965,676
PTE,VCD2F,605
PTP,VC965,130
PTE,VCB43,891
PTP,VC965,514
PTE,VC965,239
PTE,VCB43,990
PTP,VCD2F,929
PTC,VC965,83
PTC,VC965,498
PTE,VC965,169
PTC,VC965,545
PTP,VC965,531
PTE,VC965,994
PTE,VC965,45
PTE,VCD2F,232
PTP,VC965,879
PTE,VC965,807
PTE,VCB43,238
PTP,VCB43,724
PTP,VCB43,872
PTC,VCD2F,43
PTE,VC965,218
PTE,VCB43,238
PTC,VCD2F,67
PTE,VC965,125
PTE,VC965,636
PTE,VC965,209
PTC,VCB43,477
PTE,VCD2F,569
PTP,VC965,846
PTP,VCD2F,82
PTC,VC965,463
PTP,VC965,82
PTE,VCB43,673
PTE,VCB43,224
PTP,VC965,366
PTC,VC965,965
PTP,VCD2F,901
PTC,VC965,290
PTP,VC965,25
PTC,VC965,376
PTE,VCB43,813
PTP,VC965,709
PTE,VCB43,882
PTP,VCB43,58
PTC,VCB43,625
PTC,VCB43,307
PTE,VC965,483
PTC,VCB43,784
PTC,VC965,378
PTE,VC965,505
PTP,VC965,545
PTP,VC965,835
PTE,VCB43,477
PTP,VC965,535
PTP,VCB43,729
PTE,VC965,367
PTC,VC965,280
PTC,VC965,538
PTE,VC965,543
PTE,VC965,437
PTP,VC965,824
PTP,VCB43,447
PTC,VC965,548
PTC,VCD2F,889
PTP,VCB43,614
PTE,VC965,875
PTE,VC965,229
PTC,VC965,161
PTC,VCD2F,849
PTP,VC965,567
PTC,VCB43,879
PTE,VC965,982
PTP,VC965,38
PTP,VCB43,646
PTC,VCB43,76
PTE,VC965,554
PTE,VC965,696
PTE,VCB43,574
PTP,VC965,531
PTE,VC965,576
PTE,VC965,252
PTP,VC965,865
PTE,VCD2F,317
PTP,VC965,867
PTE,VCB43,295
PTP,VCB43,988
PTP,VC965,31
PTC,VC965,901
PTP,VC965,95
