1,Thu Aug 19 21:54:38 2021,125094,car
2,Sat Jul 31 04:09:44 2021,174434,car
3,Sat Aug 14 17:19:04 2021,8538286,car
4,Mon Aug  2 18:23:45 2021,5521221,car
5,Thu Jul 29 22:44:20 2021,3267767,car
6,Sat Aug 14 03:57:47 2021,8411850,car
7,Thu Aug 12 03:41:22 2021,6064250,car
8,Sun Aug 22 10:29:58 2021,6871937,van
9,Fri Aug  6 14:23:08 2021,2055930,car
10,Sun Aug 15 13:43:51 2021,8775910,car
11,Wed Aug  4 15:52:13 2021,4525747,car
12,Wed Aug 18 02:22:15 2021,5276143,van
13,Thu Aug 19 16:01:02 2021,5405144,van
14,Tue Aug  3 14:55:00 2021,9309466,car
15,Thu Aug  5 04:00:30 2021,6494070,van
16,Sun Aug  8 13:08:17 2021,4880588,car
17,Wed Aug  4 04:56:15 2021,6964507,car
18,Sun Aug 15 11:22:44 2021,5740782,truck
19,Fri Jul 30 11:20:47 2021,1060261,van
20,Sun Aug  8 21:22:56 2021,6599783,car
21,Wed Aug 11 10:33:15 2021,4573378,car
22,Fri Aug  6 02:02:33 2021,1362666,car
23,Mon Aug  9 05:07:58 2021,9227112,car
24,Fri Aug 13 18:21:04 2021,1245885,car
25,Thu Aug 12 01:36:28 2021,6702238,car
26,Wed Aug 11 04:05:21 2021,7598066,car
27,Sun Aug  8 19:09:41 2021,2959560,car
28,Sun Aug  1 02:04:42 2021,9223690,car
29,Sun Aug 15 11:11:42 2021,495967,car
30,Sat Aug 14 03:39:26 2021,1920115,car
31,Wed Aug 18 23:33:41 2021,9940618,truck
32,Fri Aug  6 10:18:54 2021,733942,car
33,Thu Aug 19 15:58:25 2021,3232373,truck
34,Thu Aug 19 07:23:18 2021,2164250,truck
35,Sun Aug  1 09:10:05 2021,3714822,truck
36,Sat Aug  7 13:11:54 2021,9870882,van
37,Tue Aug 10 01:27:00 2021,834998,car
38,Tue Aug 10 14:31:35 2021,6715866,car
39,Sun Aug  8 09:43:26 2021,9723146,car
40,Mon Aug  2 16:18:51 2021,2871310,car
41,Sat Aug 14 13:13:47 2021,7657312,van
42,Tue Aug  3 03:53:05 2021,9802000,car
43,Mon Aug 16 00:36:00 2021,6514220,car
44,Fri Aug 20 02:10:55 2021,3803763,car
45,Sat Aug 14 06:32:07 2021,2223161,car
46,Fri Jul 30 02:19:56 2021,1228573,truck
47,Wed Aug  4 14:30:03 2021,4872795,car
48,Sat Aug 14 04:04:45 2021,2074513,van
49,Thu Aug 12 04:58:14 2021,7368256,car
50,Wed Aug 11 10:50:27 2021,2168309,car
51,Sun Aug  8 08:37:17 2021,5131457,car
52,Mon Aug  9 23:48:43 2021,2398430,car
